5000 100001
1514 705 54
2372 2941 31
1782 4498 2
525 4677 70
587 1167 6
834 181 41
4975 4943 17
4976 1917 28
2314 3266 34
3946 408 58
813 3446 8
1068 219 64
3101 3341 6
1937 1514 69
723 30 65
502 4423 66
2064 149 72
3698 4026 46
745 2440 72
397 40 91
416 2378 65
4021 3626 48
75 1756 65
1481 4744 21
280 3964 68
1446 2942 53
4406 4106 10
2950 80 63
1331 1362 48
4779 4088 98
3999 3035 75
1513 389 76
3635 3032 53
946 1970 66
342 3775 56
3674 3402 8
1065 3527 54
618 2349 83
4435 4880 90
4219 2903 43
4293 1906 87
3666 3505 68
567 2567 24
1912 3266 29
56 4069 72
3639 413 10
3893 3142 23
2257 4124 50
959 4929 87
1195 2057 2
2545 2781 1
2332 694 76
2258 438 70
1634 1233 58
2233 497 98
3286 4436 2
3709 4953 51
3902 4805 34
2371 866 77
3611 1362 18
1597 4486 7
1022 2582 65
4454 2453 25
1644 4366 97
4926 4543 54
1546 4410 40
2796 3234 90
2026 3502 46
2300 1039 75
579 3723 90
1200 4759 70
272 1115 12
3489 2896 46
121 1067 94
2284 3492 47
4486 1373 32
774 1540 76
957 1853 57
278 3760 75
43 1648 83
1572 770 83
3424 1280 16
2923 4845 66
2458 1894 64
2517 4655 83
4908 4732 73
3747 3615 7
4257 3494 5
2117 2288 25
3098 4793 11
1063 1587 50
4358 3541 23
3262 3197 15
531 3172 95
399 4302 5
1252 3348 11
4900 1904 75
84 4333 16
2264 4164 88
2661 1169 10
4621 1758 83
3620 3471 75
2646 2027 89
4856 3201 64
2189 1718 76
2856 3503 64
125 3318 60
3948 3638 93
4576 1833 94
1865 3088 60
45 2118 100
4566 1604 88
1936 1544 48
907 4173 52
1119 2183 19
2520 2450 40
4617 2100 56
930 736 85
2690 2631 31
2050 2454 59
2162 1114 2
4569 2570 64
2683 2549 97
3630 1945 69
126 3974 72
780 4715 28
2387 4271 89
2287 2213 62
644 4498 1
3919 396 30
4642 4612 42
4755 595 79
1243 614 3
2709 1194 73
3076 3348 96
2097 4121 26
1417 3179 73
1166 2500 46
1026 4741 47
1484 3851 75
4205 131 17
1635 4576 22
3596 4896 99
96 3608 90
4354 452 94
3380 3339 54
221 3411 53
284 864 3
1566 2789 53
4085 135 38
4062 1585 95
3962 700 60
4236 2063 22
3068 689 17
4975 2863 55
2587 1062 65
2806 704 92
4838 4802 28
130 32 39
